"LOCATION","Country","COMMODITY","Commodity","VARIABLE","Variable","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"USA","United States","PK","Pigmeat","QC","Consumption","2020","2020","TONNE","Tonnes","3","Thousands",,,10177.303,,
"USA","United States","PK","Pigmeat","QC","Consumption","2021","2021","TONNE","Tonnes","3","Thousands",,,10191.614,,
"USA","United States","PK","Pigmeat","QC","Consumption","2022","2022","TONNE","Tonnes","3","Thousands",,,10212.93,,
"USA","United States","PK","Pigmeat","QC","Consumption","2023","2023","TONNE","Tonnes","3","Thousands",,,10240.507,,
"USA","United States","PK","Pigmeat","QC","Consumption","2024","2024","TONNE","Tonnes","3","Thousands",,,10351.712,,
"USA","United States","PK","Pigmeat","QC","Consumption","2025","2025","TONNE","Tonnes","3","Thousands",,,10440.556,,
"USA","United States","PK","Pigmeat","QC","Consumption","2026","2026","TONNE","Tonnes","3","Thousands",,,10513.526,,
"USA","United States","PK","Pigmeat","QC","Consumption","2027","2027","TONNE","Tonnes","3","Thousands",,,10544.739,,
"USA","United States","PK","Pigmeat","QC","Consumption","2028","2028","TONNE","Tonnes","3","Thousands",,,10582.859,,
"USA","United States","PK","Pigmeat","QC","Consumption","2029","2029","TONNE","Tonnes","3","Thousands",,,10626.998,,
"USA","United States","PK","Pigmeat","PC","Human consumption per capita","2020","2020","KG_HAB","Kilograms per capita","0","Units",,,23.983,,
"USA","United States","PK","Pigmeat","PC","Human consumption per capita","2021","2021","KG_HAB","Kilograms per capita","0","Units",,,23.878,,
"USA","United States","PK","Pigmeat","PC","Human consumption per capita","2022","2022","KG_HAB","Kilograms per capita","0","Units",,,23.793,,
"USA","United States","PK","Pigmeat","PC","Human consumption per capita","2023","2023","KG_HAB","Kilograms per capita","0","Units",,,23.725,,
"USA","United States","PK","Pigmeat","PC","Human consumption per capita","2024","2024","KG_HAB","Kilograms per capita","0","Units",,,23.85,,
"USA","United States","PK","Pigmeat","PC","Human consumption per capita","2025","2025","KG_HAB","Kilograms per capita","0","Units",,,23.924,,
"USA","United States","PK","Pigmeat","PC","Human consumption per capita","2026","2026","KG_HAB","Kilograms per capita","0","Units",,,23.961,,
"USA","United States","PK","Pigmeat","PC","Human consumption per capita","2027","2027","KG_HAB","Kilograms per capita","0","Units",,,23.903,,
"USA","United States","PK","Pigmeat","PC","Human consumption per capita","2028","2028","KG_HAB","Kilograms per capita","0","Units",,,23.861,,
"USA","United States","PK","Pigmeat","PC","Human consumption per capita","2029","2029","KG_HAB","Kilograms per capita","0","Units",,,23.833,,
"USA","United States","PT","Poultry meat","QC","Consumption","2020","2020","TONNE","Tonnes","3","Thousands",,,19169.036,,
"USA","United States","PT","Poultry meat","QC","Consumption","2021","2021","TONNE","Tonnes","3","Thousands",,,19218.463,,
"USA","United States","PT","Poultry meat","QC","Consumption","2022","2022","TONNE","Tonnes","3","Thousands",,,19364.111,,
"USA","United States","PT","Poultry meat","QC","Consumption","2023","2023","TONNE","Tonnes","3","Thousands",,,19474.561,,
"USA","United States","PT","Poultry meat","QC","Consumption","2024","2024","TONNE","Tonnes","3","Thousands",,,19585.797,,
"USA","United States","PT","Poultry meat","QC","Consumption","2025","2025","TONNE","Tonnes","3","Thousands",,,19691.512,,
"USA","United States","PT","Poultry meat","QC","Consumption","2026","2026","TONNE","Tonnes","3","Thousands",,,19797.082,,
"USA","United States","PT","Poultry meat","QC","Consumption","2027","2027","TONNE","Tonnes","3","Thousands",,,19900.415,,
"USA","United States","PT","Poultry meat","QC","Consumption","2028","2028","TONNE","Tonnes","3","Thousands",,,20007.565,,
"USA","United States","PT","Poultry meat","QC","Consumption","2029","2029","TONNE","Tonnes","3","Thousands",,,20109.668,,
"USA","United States","PT","Poultry meat","PP","Producer price","2020","2020","NATCUR_TONNE","National currency per tonne","0","Units",,,1147.46,,
"USA","United States","PT","Poultry meat","PP","Producer price","2021","2021","NATCUR_TONNE","National currency per tonne","0","Units",,,1163.568,,
"USA","United States","PT","Poultry meat","PP","Producer price","2022","2022","NATCUR_TONNE","National currency per tonne","0","Units",,,1187.294,,
"USA","United States","PT","Poultry meat","PP","Producer price","2023","2023","NATCUR_TONNE","National currency per tonne","0","Units",,,1195.075,,
"USA","United States","PT","Poultry meat","PP","Producer price","2024","2024","NATCUR_TONNE","National currency per tonne","0","Units",,,1209.754,,
"USA","United States","PT","Poultry meat","PP","Producer price","2025","2025","NATCUR_TONNE","National currency per tonne","0","Units",,,1220.745,,
"USA","United States","PT","Poultry meat","PP","Producer price","2026","2026","NATCUR_TONNE","National currency per tonne","0","Units",,,1233.365,,
"USA","United States","PT","Poultry meat","PP","Producer price","2027","2027","NATCUR_TONNE","National currency per tonne","0","Units",,,1244.99,,
"USA","United States","PT","Poultry meat","PP","Producer price","2028","2028","NATCUR_TONNE","National currency per tonne","0","Units",,,1257.229,,
"USA","United States","PT","Poultry meat","PP","Producer price","2029","2029","NATCUR_TONNE","National currency per tonne","0","Units",,,1269.698,,
"USA","United States","PT","Poultry meat","PC","Human consumption per capita","2020","2020","KG_HAB","Kilograms per capita","0","Units",,,50.963,,
"USA","United States","PT","Poultry meat","PC","Human consumption per capita","2021","2021","KG_HAB","Kilograms per capita","0","Units",,,50.801,,
"USA","United States","PT","Poultry meat","PC","Human consumption per capita","2022","2022","KG_HAB","Kilograms per capita","0","Units",,,50.897,,
"USA","United States","PT","Poultry meat","PC","Human consumption per capita","2023","2023","KG_HAB","Kilograms per capita","0","Units",,,50.902,,
"USA","United States","PT","Poultry meat","PC","Human consumption per capita","2024","2024","KG_HAB","Kilograms per capita","0","Units",,,50.911,,
"USA","United States","PT","Poultry meat","PC","Human consumption per capita","2025","2025","KG_HAB","Kilograms per capita","0","Units",,,50.906,,
"USA","United States","PT","Poultry meat","PC","Human consumption per capita","2026","2026","KG_HAB","Kilograms per capita","0","Units",,,50.902,,
"USA","United States","PT","Poultry meat","PC","Human consumption per capita","2027","2027","KG_HAB","Kilograms per capita","0","Units",,,50.893,,
"USA","United States","PT","Poultry meat","PC","Human consumption per capita","2028","2028","KG_HAB","Kilograms per capita","0","Units",,,50.894,,
"USA","United States","PT","Poultry meat","PC","Human consumption per capita","2029","2029","KG_HAB","Kilograms per capita","0","Units",,,50.882,,
"USA","United States","SH","Sheepmeat","QC","Consumption","2020","2020","TONNE","Tonnes","3","Thousands",,,162.152,,
"USA","United States","SH","Sheepmeat","QC","Consumption","2021","2021","TONNE","Tonnes","3","Thousands",,,162.33,,
"USA","United States","SH","Sheepmeat","QC","Consumption","2022","2022","TONNE","Tonnes","3","Thousands",,,164.193,,
"USA","United States","SH","Sheepmeat","QC","Consumption","2023","2023","TONNE","Tonnes","3","Thousands",,,165.057,,
"USA","United States","SH","Sheepmeat","QC","Consumption","2024","2024","TONNE","Tonnes","3","Thousands",,,165.845,,
"USA","United States","SH","Sheepmeat","QC","Consumption","2025","2025","TONNE","Tonnes","3","Thousands",,,166.966,,
"USA","United States","SH","Sheepmeat","QC","Consumption","2026","2026","TONNE","Tonnes","3","Thousands",,,167.744,,
"USA","United States","SH","Sheepmeat","QC","Consumption","2027","2027","TONNE","Tonnes","3","Thousands",,,168.741,,
"USA","United States","SH","Sheepmeat","QC","Consumption","2028","2028","TONNE","Tonnes","3","Thousands",,,169.797,,
"USA","United States","SH","Sheepmeat","QC","Consumption","2029","2029","TONNE","Tonnes","3","Thousands",,,170.753,,
"USA","United States","SH","Sheepmeat","PC","Human consumption per capita","2020","2020","KG_HAB","Kilograms per capita","0","Units",,,0.431,,
"USA","United States","SH","Sheepmeat","PC","Human consumption per capita","2021","2021","KG_HAB","Kilograms per capita","0","Units",,,0.429,,
"USA","United States","SH","Sheepmeat","PC","Human consumption per capita","2022","2022","KG_HAB","Kilograms per capita","0","Units",,,0.432,,
"USA","United States","SH","Sheepmeat","PC","Human consumption per capita","2023","2023","KG_HAB","Kilograms per capita","0","Units",,,0.431,,
"USA","United States","SH","Sheepmeat","PC","Human consumption per capita","2024","2024","KG_HAB","Kilograms per capita","0","Units",,,0.431,,
"USA","United States","SH","Sheepmeat","PC","Human consumption per capita","2025","2025","KG_HAB","Kilograms per capita","0","Units",,,0.432,,
"USA","United States","SH","Sheepmeat","PC","Human consumption per capita","2026","2026","KG_HAB","Kilograms per capita","0","Units",,,0.431,,
"USA","United States","SH","Sheepmeat","PC","Human consumption per capita","2027","2027","KG_HAB","Kilograms per capita","0","Units",,,0.432,,
"USA","United States","SH","Sheepmeat","PC","Human consumption per capita","2028","2028","KG_HAB","Kilograms per capita","0","Units",,,0.432,,
"USA","United States","SH","Sheepmeat","PC","Human consumption per capita","2029","2029","KG_HAB","Kilograms per capita","0","Units",,,0.432,,
"USA","United States","FH","Fish","QC","Consumption","2020","2020","TONNE","Tonnes","3","Thousands",,,8984.929,,
"USA","United States","FH","Fish","QC","Consumption","2021","2021","TONNE","Tonnes","3","Thousands",,,9032.295,,
"USA","United States","FH","Fish","QC","Consumption","2022","2022","TONNE","Tonnes","3","Thousands",,,9135.835,,
"USA","United States","FH","Fish","QC","Consumption","2023","2023","TONNE","Tonnes","3","Thousands",,,9208.327,,
"USA","United States","FH","Fish","QC","Consumption","2024","2024","TONNE","Tonnes","3","Thousands",,,9268.314,,
"USA","United States","FH","Fish","QC","Consumption","2025","2025","TONNE","Tonnes","3","Thousands",,,9305.532,,
"USA","United States","FH","Fish","QC","Consumption","2026","2026","TONNE","Tonnes","3","Thousands",,,9327.186,,
"USA","United States","FH","Fish","QC","Consumption","2027","2027","TONNE","Tonnes","3","Thousands",,,9381.718,,
"USA","United States","FH","Fish","QC","Consumption","2028","2028","TONNE","Tonnes","3","Thousands",,,9469.4,,
"USA","United States","FH","Fish","QC","Consumption","2029","2029","TONNE","Tonnes","3","Thousands",,,9553.645,,
"USA","United States","FH","Fish","PC","Human consumption per capita","2020","2020","KG_HAB","Kilograms per capita","0","Units",,,22.253,,
"USA","United States","FH","Fish","PC","Human consumption per capita","2021","2021","KG_HAB","Kilograms per capita","0","Units",,,22.261,,
"USA","United States","FH","Fish","PC","Human consumption per capita","2022","2022","KG_HAB","Kilograms per capita","0","Units",,,22.462,,
"USA","United States","FH","Fish","PC","Human consumption per capita","2023","2023","KG_HAB","Kilograms per capita","0","Units",,,22.553,,
"USA","United States","FH","Fish","PC","Human consumption per capita","2024","2024","KG_HAB","Kilograms per capita","0","Units",,,22.606,,
"USA","United States","FH","Fish","PC","Human consumption per capita","2025","2025","KG_HAB","Kilograms per capita","0","Units",,,22.587,,
"USA","United States","FH","Fish","PC","Human consumption per capita","2026","2026","KG_HAB","Kilograms per capita","0","Units",,,22.51,,
"USA","United States","FH","Fish","PC","Human consumption per capita","2027","2027","KG_HAB","Kilograms per capita","0","Units",,,22.552,,
"USA","United States","FH","Fish","PC","Human consumption per capita","2028","2028","KG_HAB","Kilograms per capita","0","Units",,,22.684,,
"USA","United States","FH","Fish","PC","Human consumption per capita","2029","2029","KG_HAB","Kilograms per capita","0","Units",,,22.803,,
"USA","United States","FHC","Fish from capture","QC","Consumption","2020","2020","TONNE","Tonnes","3","Thousands",,,0,,
"USA","United States","FHC","Fish from capture","QC","Consumption","2021","2021","TONNE","Tonnes","3","Thousands",,,0,,
"USA","United States","FHC","Fish from capture","QC","Consumption","2022","2022","TONNE","Tonnes","3","Thousands",,,0,,
"USA","United States","FHC","Fish from capture","QC","Consumption","2023","2023","TONNE","Tonnes","3","Thousands",,,0,,
"USA","United States","FHC","Fish from capture","QC","Consumption","2024","2024","TONNE","Tonnes","3","Thousands",,,0,,
"USA","United States","FHC","Fish from capture","QC","Consumption","2025","2025","TONNE","Tonnes","3","Thousands",,,0,,
"USA","United States","FHC","Fish from capture","QC","Consumption","2026","2026","TONNE","Tonnes","3","Thousands",,,0,,
"USA","United States","FHC","Fish from capture","QC","Consumption","2027","2027","TONNE","Tonnes","3","Thousands",,,0,,
"USA","United States","FHC","Fish from capture","QC","Consumption","2028","2028","TONNE","Tonnes","3","Thousands",,,0,,
"USA","United States","FHC","Fish from capture","QC","Consumption","2029","2029","TONNE","Tonnes","3","Thousands",,,0,,
"USA","United States","FHA","Fish from aquaculture","QC","Consumption","2020","2020","TONNE","Tonnes","3","Thousands",,,0,,
"USA","United States","FHA","Fish from aquaculture","QC","Consumption","2021","2021","TONNE","Tonnes","3","Thousands",,,0,,
"USA","United States","FHA","Fish from aquaculture","QC","Consumption","2022","2022","TONNE","Tonnes","3","Thousands",,,0,,
"USA","United States","FHA","Fish from aquaculture","QC","Consumption","2023","2023","TONNE","Tonnes","3","Thousands",,,0,,
"USA","United States","FHA","Fish from aquaculture","QC","Consumption","2024","2024","TONNE","Tonnes","3","Thousands",,,0,,
"USA","United States","FHA","Fish from aquaculture","QC","Consumption","2025","2025","TONNE","Tonnes","3","Thousands",,,0,,
"USA","United States","FHA","Fish from aquaculture","QC","Consumption","2026","2026","TONNE","Tonnes","3","Thousands",,,0,,
"USA","United States","FHA","Fish from aquaculture","QC","Consumption","2027","2027","TONNE","Tonnes","3","Thousands",,,0,,
"USA","United States","FHA","Fish from aquaculture","QC","Consumption","2028","2028","TONNE","Tonnes","3","Thousands",,,0,,
"USA","United States","FHA","Fish from aquaculture","QC","Consumption","2029","2029","TONNE","Tonnes","3","Thousands",,,0,,
"USA","United States","FHA","Fish from aquaculture","PP","Producer price","2020","2020","NATCUR_TONNE","National currency per tonne","0","Units",,,3124.433,,
"USA","United States","FHA","Fish from aquaculture","PP","Producer price","2021","2021","NATCUR_TONNE","National currency per tonne","0","Units",,,3388.317,,
"USA","United States","FHA","Fish from aquaculture","PP","Producer price","2022","2022","NATCUR_TONNE","National currency per tonne","0","Units",,,3600.095,,
"USA","United States","FHA","Fish from aquaculture","PP","Producer price","2023","2023","NATCUR_TONNE","National currency per tonne","0","Units",,,3731.92,,
"USA","United States","FHA","Fish from aquaculture","PP","Producer price","2024","2024","NATCUR_TONNE","National currency per tonne","0","Units",,,3941.046,,
"USA","United States","FHA","Fish from aquaculture","PP","Producer price","2025","2025","NATCUR_TONNE","National currency per tonne","0","Units",,,4009.097,,
"USA","United States","FHA","Fish from aquaculture","PP","Producer price","2026","2026","NATCUR_TONNE","National currency per tonne","0","Units",,,4074.731,,
"USA","United States","FHA","Fish from aquaculture","PP","Producer price","2027","2027","NATCUR_TONNE","National currency per tonne","0","Units",,,3945.389,,
"USA","United States","FHA","Fish from aquaculture","PP","Producer price","2028","2028","NATCUR_TONNE","National currency per tonne","0","Units",,,3978.428,,
"USA","United States","FHA","Fish from aquaculture","PP","Producer price","2029","2029","NATCUR_TONNE","National currency per tonne","0","Units",,,4030.668,,
"USA","United States","PK","Pigmeat","PP","Producer price","2020","2020","NATCUR_TONNE","National currency per tonne","0","Units",,,1678.553,,
"USA","United States","PK","Pigmeat","PP","Producer price","2021","2021","NATCUR_TONNE","National currency per tonne","0","Units",,,1671.767,,
"USA","United States","PK","Pigmeat","PP","Producer price","2022","2022","NATCUR_TONNE","National currency per tonne","0","Units",,,1681.333,,
"USA","United States","PK","Pigmeat","PP","Producer price","2023","2023","NATCUR_TONNE","National currency per tonne","0","Units",,,1681.337,,
"USA","United States","PK","Pigmeat","PP","Producer price","2024","2024","NATCUR_TONNE","National currency per tonne","0","Units",,,1673.651,,
"USA","United States","PK","Pigmeat","PP","Producer price","2025","2025","NATCUR_TONNE","National currency per tonne","0","Units",,,1658.112,,
"USA","United States","PK","Pigmeat","PP","Producer price","2026","2026","NATCUR_TONNE","National currency per tonne","0","Units",,,1650.823,,
"USA","United States","PK","Pigmeat","PP","Producer price","2027","2027","NATCUR_TONNE","National currency per tonne","0","Units",,,1640.086,,
"USA","United States","PK","Pigmeat","PP","Producer price","2028","2028","NATCUR_TONNE","National currency per tonne","0","Units",,,1634.399,,
"USA","United States","PK","Pigmeat","PP","Producer price","2029","2029","NATCUR_TONNE","National currency per tonne","0","Units",,,1624.098,,
"USA","United States","SH","Sheepmeat","PP","Producer price","2020","2020","NATCUR_TONNE","National currency per tonne","0","Units",,,6782.35,,
"USA","United States","SH","Sheepmeat","PP","Producer price","2021","2021","NATCUR_TONNE","National currency per tonne","0","Units",,,6675.328,,
"USA","United States","SH","Sheepmeat","PP","Producer price","2022","2022","NATCUR_TONNE","National currency per tonne","0","Units",,,6601.088,,
"USA","United States","SH","Sheepmeat","PP","Producer price","2023","2023","NATCUR_TONNE","National currency per tonne","0","Units",,,6565.568,,
"USA","United States","SH","Sheepmeat","PP","Producer price","2024","2024","NATCUR_TONNE","National currency per tonne","0","Units",,,6563.529,,
"USA","United States","SH","Sheepmeat","PP","Producer price","2025","2025","NATCUR_TONNE","National currency per tonne","0","Units",,,6574.299,,
"USA","United States","SH","Sheepmeat","PP","Producer price","2026","2026","NATCUR_TONNE","National currency per tonne","0","Units",,,6600.844,,
"USA","United States","SH","Sheepmeat","PP","Producer price","2027","2027","NATCUR_TONNE","National currency per tonne","0","Units",,,6643.98,,
"USA","United States","SH","Sheepmeat","PP","Producer price","2028","2028","NATCUR_TONNE","National currency per tonne","0","Units",,,6698.92,,
"USA","United States","SH","Sheepmeat","PP","Producer price","2029","2029","NATCUR_TONNE","National currency per tonne","0","Units",,,6757.994,,
"USA","United States","FH","Fish","PP","Producer price","2020","2020","NATCUR_TONNE","National currency per tonne","0","Units",,,3993.143,,
"USA","United States","FH","Fish","PP","Producer price","2021","2021","NATCUR_TONNE","National currency per tonne","0","Units",,,4137.805,,
"USA","United States","FH","Fish","PP","Producer price","2022","2022","NATCUR_TONNE","National currency per tonne","0","Units",,,4311.536,,
"USA","United States","FH","Fish","PP","Producer price","2023","2023","NATCUR_TONNE","National currency per tonne","0","Units",,,4430.09,,
"USA","United States","FH","Fish","PP","Producer price","2024","2024","NATCUR_TONNE","National currency per tonne","0","Units",,,4570.775,,
"USA","United States","FH","Fish","PP","Producer price","2025","2025","NATCUR_TONNE","National currency per tonne","0","Units",,,4607.241,,
"USA","United States","FH","Fish","PP","Producer price","2026","2026","NATCUR_TONNE","National currency per tonne","0","Units",,,4666.76,,
"USA","United States","FH","Fish","PP","Producer price","2027","2027","NATCUR_TONNE","National currency per tonne","0","Units",,,4599.985,,
"USA","United States","FH","Fish","PP","Producer price","2028","2028","NATCUR_TONNE","National currency per tonne","0","Units",,,4641.416,,
"USA","United States","FH","Fish","PP","Producer price","2029","2029","NATCUR_TONNE","National currency per tonne","0","Units",,,4681.019,,
"USA","United States","BV","Beef and veal","PP","Producer price","2020","2020","NATCUR_TONNE","National currency per tonne","0","Units",,,4200.894,,
"USA","United States","BV","Beef and veal","PP","Producer price","2021","2021","NATCUR_TONNE","National currency per tonne","0","Units",,,4188.649,,
"USA","United States","BV","Beef and veal","PP","Producer price","2022","2022","NATCUR_TONNE","National currency per tonne","0","Units",,,4151.1,,
"USA","United States","BV","Beef and veal","PP","Producer price","2023","2023","NATCUR_TONNE","National currency per tonne","0","Units",,,4116.41,,
"USA","United States","BV","Beef and veal","PP","Producer price","2024","2024","NATCUR_TONNE","National currency per tonne","0","Units",,,4136.304,,
"USA","United States","BV","Beef and veal","PP","Producer price","2025","2025","NATCUR_TONNE","National currency per tonne","0","Units",,,4170.136,,
"USA","United States","BV","Beef and veal","PP","Producer price","2026","2026","NATCUR_TONNE","National currency per tonne","0","Units",,,4206.273,,
"USA","United States","BV","Beef and veal","PP","Producer price","2027","2027","NATCUR_TONNE","National currency per tonne","0","Units",,,4232.846,,
"USA","United States","BV","Beef and veal","PP","Producer price","2028","2028","NATCUR_TONNE","National currency per tonne","0","Units",,,4256.64,,
"USA","United States","BV","Beef and veal","PP","Producer price","2029","2029","NATCUR_TONNE","National currency per tonne","0","Units",,,4280.051,,
